"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
Fillmore Central,FILLMORE CENTRAL SENIOR HIGH,2198-01-456,2010,46,31,18,,10,22%,56%,
Fillmore Central,FILLMORE CENTRAL SENIOR HIGH,2198-01-456,2011,41,33,23,,fewer than 10,,,
Fillmore Central,FILLMORE CENTRAL SENIOR HIGH,2198-01-456,2012,45,32,21,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2006,16,fewer than 10,fewer than 10,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2007,25,24,20,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2008,21,13,fewer than 10,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2009,26,22,18,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2010,27,20,14,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2011,19,13,10,,fewer than 10,,,
Fisher Public School District,FISHER SECONDARY,0600-01-002,2012,21,15,fewer than 10,,fewer than 10,,,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2006,33,25,24,,11,33%,46%,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2007,25,16,13,,fewer than 10,,,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2008,31,27,24,,fewer than 10,,,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2009,32,28,26,,10,31%,38%,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2010,27,23,21,,fewer than 10,,,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2011,30,21,17,,fewer than 10,,,
Floodwood Public School District,FLOODWOOD SECONDARY,0698-01-020,2012,23,16,15,,fewer than 10,,,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2006,130,95,79,,12,9%,15%,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2007,130,93,80,,14,11%,18%,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2008,119,100,86,,17,14%,20%,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2009,111,86,71,,13,12%,18%,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2010,114,92,68,,16,14%,24%,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2011,109,77,66,,fewer than 10,,,
Foley Public School District,FOLEY SENIOR HIGH,0051-01-020,2012,133,90,80,,10,8%,13%,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2006,26,fewer than 10,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2007,19,fewer than 10,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2008,15,fewer than 10,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2009,27,13,13,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2010,18,fewer than 10,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2011,26,11,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE AREA LEARNING CENTER,0831-01-113,2012,10,fewer than 10,fewer than 10,,fewer than 10,,,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2006,539,397,304,,119,22%,39%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2007,533,419,335,,122,23%,36%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2008,511,419,316,,107,21%,34%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2009,501,428,333,,97,19%,29%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2010,490,416,326,,100,20%,31%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2011,455,384,282,,79,17%,28%,
Forest Lake Public School District,FOREST LAKE SENIOR HIGH,0831-01-114,2012,453,370,271,,70,15%,26%,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2006,39,30,22,,fewer than 10,,,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2007,44,29,20,,fewer than 10,,,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2008,43,26,18,,fewer than 10,,,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2009,46,34,24,,fewer than 10,,,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2010,49,36,28,,fewer than 10,,,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2011,52,39,31,,11,21%,35%,
Fosston Public School District,FOSSTON SECONDARY,0601-01-020,2012,34,23,17,,fewer than 10,,,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2006,76,56,45,,11,14%,24%,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2007,85,57,41,,17,20%,41%,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2008,75,56,40,,15,20%,38%,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2009,69,54,44,,fewer than 10,,,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2010,58,36,28,,fewer than 10,,,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2011,63,40,35,,fewer than 10,,,
Frazee-Vergas Public School Dist.,FRAZEE SECONDARY,0023-01-020,2012,49,32,23,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2006,43,14,13,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2007,42,fewer than 10,fewer than 10,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2008,43,12,fewer than 10,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2009,48,13,fewer than 10,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2010,45,10,fewer than 10,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2011,54,11,10,,fewer than 10,,,
Freshwater Ed. Dist.,FRESHWATER ED. DIST. ALC,6004-61-020,2012,44,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2006,23,11,11,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2007,24,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2008,23,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2009,19,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2010,18,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2011,19,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY MOORE LK AREA LEARNING CTR,0014-01-552,2012,20,fewer than 10,fewer than 10,,fewer than 10,,,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2006,158,123,105,,26,16%,25%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2007,145,109,95,,32,22%,34%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2008,180,149,119,,46,26%,39%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2009,179,152,121,,39,22%,32%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2010,183,157,123,,44,24%,36%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2011,165,138,112,,48,29%,43%,
Fridley Public School District,FRIDLEY SENIOR HIGH,0014-01-022,2012,166,139,111,,32,19%,29%,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2006,47,37,27,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2007,51,41,26,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2008,54,42,34,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2009,51,41,25,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2010,44,37,23,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2011,46,34,21,,fewer than 10,,,
Fulda Public School District,FULDA SECONDARY,0505-01-020,2012,43,35,23,,fewer than 10,,,
G.F.W.,G.F.W. SR.,2365-01-020,2006,72,61,54,,16,22%,30%,
G.F.W.,G.F.W. SR.,2365-01-020,2007,76,64,52,,15,20%,29%,
G.F.W.,G.F.W. SR.,2365-01-020,2008,65,54,47,,19,29%,40%,
G.F.W.,G.F.W. SR.,2365-01-020,2009,61,48,41,,fewer than 10,,,
G.F.W.,G.F.W. SR.,2365-01-020,2010,68,58,49,,16,24%,33%,
G.F.W.,G.F.W. SR.,2365-01-020,2011,65,50,41,,15,23%,37%,
G.F.W.,G.F.W. SR.,2365-01-020,2012,55,42,33,,11,20%,33%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2006,124,98,81,,18,15%,22%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2007,139,103,90,,24,17%,27%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2008,123,92,83,,26,21%,31%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2009,139,107,89,,19,14%,21%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2010,120,101,90,,24,20%,27%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2011,141,112,100,,25,18%,25%,
Glencoe-Silver Lake School District,GLENCOE-SILVER LAKE SENIOR HIGH,2859-01-060,2012,128,91,79,,27,21%,34%,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2006,30,18,15,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2007,36,24,20,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2008,27,17,fewer than 10,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2009,34,21,15,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2010,34,24,13,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2011,30,24,13,,fewer than 10,,,
Glenville-Emmons School District,GLENVILLE-EMMONS SECONDARY,2886-01-300,2012,27,18,13,,fewer than 10,,,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2006,44,33,26,,fewer than 10,,,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2007,33,28,23,,fewer than 10,,,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2008,48,42,33,,14,29%,42%,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2009,54,42,25,,fewer than 10,,,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2010,49,40,24,,fewer than 10,,,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2011,59,47,32,,14,24%,44%,
Goodhue Public School District,GOODHUE SECONDARY,0253-01-002,2012,46,33,22,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2006,13,12,11,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2007,13,fewer than 10,fewer than 10,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2008,14,fewer than 10,fewer than 10,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2009,14,10,fewer than 10,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2010,10,fewer than 10,fewer than 10,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2011,12,10,fewer than 10,,fewer than 10,,,
Goodridge Public School District,GOODRIDGE SECONDARY,0561-01-020,2012,16,10,fewer than 10,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2006,32,25,17,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2007,27,18,10,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2008,27,21,13,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2009,28,22,15,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2010,27,20,14,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2011,28,20,10,,fewer than 10,,,
Granada Huntley-East Chain,GRANADA-HUNTLEY EAST CHAIN SEC.,2536-01-020,2012,21,15,fewer than 10,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2006,36,27,20,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2007,25,18,16,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2008,29,24,19,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2009,32,22,14,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2010,24,18,11,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2011,22,15,12,,fewer than 10,,,
Grand Meadow Public School District,GRAND MEADOW SENIOR HIGH,0495-01-030,2012,21,13,12,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2006,23,16,13,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2007,19,12,12,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2008,20,15,14,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2009,17,14,11,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2010,19,14,11,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2011,22,15,12,,fewer than 10,,,
Grand Rapids Public School District,BIGFORK SECONDARY,0318-01-350,2012,28,20,16,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2006,29,11,11,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2007,48,19,19,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2008,45,11,11,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2009,62,19,19,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2010,57,20,20,,12,21%,60%,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2011,51,14,14,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,0318-01-365,2012,49,fewer than 10,fewer than 10,,fewer than 10,,,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2006,281,239,191,,54,19%,28%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2007,301,246,201,,72,24%,36%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2008,250,215,169,,55,22%,33%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2009,262,224,175,,63,24%,36%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2010,238,190,149,,58,24%,39%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2011,233,182,152,,76,33%,50%,
Grand Rapids Public School District,GRAND RAPIDS SENIOR HIGH,0318-01-360,2012,238,190,156,,56,24%,36%,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2006,37,34,28,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2007,30,26,20,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2008,38,30,21,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2009,29,25,18,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2010,44,34,23,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2011,36,24,19,,fewer than 10,,,
Greenbush-Middle River School Dist.,GREENBUSH-MIDDLE RIVER SENIOR HIGH,2683-01-020,2012,29,24,20,,fewer than 10,,,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2006,84,69,58,,20,24%,34%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2007,81,68,58,,21,26%,36%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2008,68,55,52,,15,22%,29%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2009,71,58,53,,21,30%,40%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2010,81,63,58,,24,30%,41%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2011,69,49,45,,25,36%,56%,
Greenway Public School District,GREENWAY SENIOR HIGH,0316-01-310,2012,61,46,43,,16,26%,37%,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2006,13,10,fewer than 10,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2007,16,11,fewer than 10,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2008,19,16,12,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2009,20,19,16,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2010,15,11,fewer than 10,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2011,22,20,16,,fewer than 10,,,
Grygla Public School District,GRYGLA SECONDARY,0447-01-003,2012,16,13,13,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2006,14,13,10,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2007,18,13,10,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2008,22,16,11,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2009,19,14,12,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2010,27,23,20,,11,41%,55%,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2011,12,10,fewer than 10,,fewer than 10,,,
Hancock Public School District,HANCOCK SEC.,0768-01-020,2012,20,18,11,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2006,45,33,24,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2007,45,30,21,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2008,37,21,17,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2009,49,34,27,,12,24%,44%,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2010,34,26,19,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2011,38,27,17,,fewer than 10,,,
Harbor City International Charter,HARBOR CITY INTERNATIONAL CHARTER,4085-07-010,2012,37,22,17,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2006,21,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2007,19,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2008,22,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2009,19,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2010,20,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2011,16,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS ALTERNATIVE CENTER,0200-01-136,2012,18,fewer than 10,fewer than 10,,fewer than 10,,,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2006,401,317,216,,55,14%,25%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2007,377,301,211,,56,15%,27%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2008,398,315,223,,69,17%,31%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2009,372,310,216,,56,15%,26%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2010,395,319,209,,67,17%,32%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2011,364,308,200,,46,13%,23%,
Hastings Public School District,HASTINGS HIGH SCHOOL,0200-01-129,2012,360,283,188,,41,11%,22%,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2006,67,52,36,,fewer than 10,,,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2007,64,51,25,,fewer than 10,,,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2008,81,60,47,,13,16%,28%,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2009,62,50,30,,fewer than 10,,,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2010,63,51,30,,fewer than 10,,,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2011,77,56,25,,fewer than 10,,,
Hawley Public School District,HAWLEY SECONDARY,0150-01-020,2012,75,49,34,,fewer than 10,,,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2006,60,42,30,,fewer than 10,,,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2007,84,69,52,,19,23%,37%,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2008,51,38,32,,18,35%,56%,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2009,70,51,40,,16,23%,40%,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2010,53,38,27,,fewer than 10,,,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2011,62,54,41,,17,27%,41%,
Hayfield Public School District,HAYFIELD SEC.,0203-01-001,2012,57,47,23,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2006,28,22,21,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2007,23,15,12,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2008,30,23,18,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2009,24,22,18,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2010,29,24,19,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2011,26,21,16,,fewer than 10,,,
Henning Public School District,HENNING SECONDARY,0545-01-020,2012,27,22,19,,fewer than 10,,,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2006,159,131,101,,31,19%,31%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2007,158,124,105,,30,19%,29%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2008,159,119,97,,30,19%,31%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2009,141,119,87,,25,18%,29%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2010,166,119,89,,34,20%,38%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2011,157,110,95,,27,17%,28%,
Hermantown Public School District,HERMANTOWN SENIOR HIGH,0700-01-020,2012,173,135,112,,29,17%,26%,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2006,33,26,20,,fewer than 10,,,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2007,33,25,17,,fewer than 10,,,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2008,33,22,11,,fewer than 10,,,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2009,42,29,21,,11,26%,52%,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2010,33,23,14,,fewer than 10,,,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2011,33,23,14,,fewer than 10,,,
Heron Lake-Okabena School District,SOUTHWEST STAR CONCEPT SECONDARY,0330-01-030,2012,30,20,10,,fewer than 10,,,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2006,183,144,124,,28,15%,23%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2007,183,150,132,,41,22%,31%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2008,188,163,134,,41,22%,31%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2009,151,126,102,,34,23%,33%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2010,141,130,107,,32,23%,30%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2011,153,137,118,,38,25%,32%,
Hibbing Public School District,HIBBING HIGH,0701-01-350,2012,142,125,107,,35,25%,33%,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2006,28,10,fewer than 10,,fewer than 10,,,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2007,26,11,fewer than 10,,fewer than 10,,,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2008,33,20,10,,fewer than 10,,,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2009,48,35,25,,18,38%,72%,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2010,85,38,19,,fewer than 10,,,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2011,82,37,22,,19,23%,86%,
